rank,model_name,method,alltoall_time,expert_time,total_time
0,mixtral-8x7b-e16k4,FLEX,9.684,8.192,24.822
1,mixtral-8x7b-e16k4,FLEX,9.164,9.306,24.822
2,mixtral-8x7b-e16k4,FLEX,9.127,9.396,24.822
3,mixtral-8x7b-e16k4,FLEX,8.65,10.266,24.822
4,mixtral-8x7b-e16k4,FLEX,10.404,6.944,24.822
5,mixtral-8x7b-e16k4,FLEX,8.731,10.018,24.822
6,mixtral-8x7b-e16k4,FLEX,8.937,9.858,24.822
7,mixtral-8x7b-e16k4,FLEX,9.898,8.13,24.822
8,mixtral-8x7b-e16k4,FLEX,9.951,7.782,24.823
9,mixtral-8x7b-e16k4,FLEX,8.881,9.564,24.823
10,mixtral-8x7b-e16k4,FLEX,9.001,9.348,24.823
11,mixtral-8x7b-e16k4,FLEX,8.72,10.242,24.823
12,mixtral-8x7b-e16k4,FLEX,9.968,7.542,24.823
13,mixtral-8x7b-e16k4,FLEX,8.817,10.0,24.823
14,mixtral-8x7b-e16k4,FLEX,9.126,9.498,24.823
15,mixtral-8x7b-e16k4,FLEX,10.009,8.284,24.823
16,mixtral-8x7b-e16k4,FLEX,9.716,7.916,24.822
17,mixtral-8x7b-e16k4,FLEX,8.652,9.766,24.822
18,mixtral-8x7b-e16k4,FLEX,8.587,10.01,24.822
19,mixtral-8x7b-e16k4,FLEX,8.493,10.15,24.822
20,mixtral-8x7b-e16k4,FLEX,10.326,6.606,24.822
21,mixtral-8x7b-e16k4,FLEX,8.214,10.712,24.822
22,mixtral-8x7b-e16k4,FLEX,9.142,9.296,24.822
23,mixtral-8x7b-e16k4,FLEX,9.962,7.56,24.822
24,mixtral-8x7b-e16k4,FLEX,9.72,7.762,24.82
25,mixtral-8x7b-e16k4,FLEX,8.697,9.932,24.82
26,mixtral-8x7b-e16k4,FLEX,8.352,10.218,24.82
27,mixtral-8x7b-e16k4,FLEX,8.61,10.176,24.82
28,mixtral-8x7b-e16k4,FLEX,10.218,6.94,24.82
29,mixtral-8x7b-e16k4,FLEX,8.775,9.444,24.82
30,mixtral-8x7b-e16k4,FLEX,8.99,9.578,24.82
31,mixtral-8x7b-e16k4,FLEX,9.973,7.668,24.82
0,mixtral-8x7b-e16k4,LAER,4.203,9.218,19.356
1,mixtral-8x7b-e16k4,LAER,4.362,9.076,19.356
2,mixtral-8x7b-e16k4,LAER,4.329,9.098,19.356
3,mixtral-8x7b-e16k4,LAER,4.378,9.03,19.356
4,mixtral-8x7b-e16k4,LAER,4.347,8.904,19.356
5,mixtral-8x7b-e16k4,LAER,4.447,8.752,19.356
6,mixtral-8x7b-e16k4,LAER,4.436,9.09,19.356
7,mixtral-8x7b-e16k4,LAER,4.323,9.256,19.356
8,mixtral-8x7b-e16k4,LAER,4.324,9.096,19.358
9,mixtral-8x7b-e16k4,LAER,4.475,8.948,19.358
10,mixtral-8x7b-e16k4,LAER,4.427,9.004,19.358
11,mixtral-8x7b-e16k4,LAER,4.421,8.926,19.358
