iter,method,aux_loss,loss,time
1,megatron,0.01,10.58809,39810.9
2,megatron,0.01,10.5981,18516.4
3,megatron,0.01,10.59657,18487.6
4,megatron,0.01,10.59947,18985.8
5,megatron,0.01,10.5886,16589.7
6,megatron,0.01,10.59823,18516.2
7,megatron,0.01,10.58833,17947.0
8,megatron,0.01,10.59421,18604.4
9,megatron,0.01,10.60055,17526.1
10,megatron,0.01,10.58663,17267.5
11,megatron,0.01,10.59087,18240.9
12,megatron,0.01,10.58345,18215.7
13,megatron,0.01,10.58087,18505.6
14,megatron,0.01,10.56919,18587.0
15,megatron,0.01,10.56727,18122.3
16,megatron,0.01,10.56253,16710.6
17,megatron,0.01,10.53246,17510.4
18,megatron,0.01,10.50777,18617.2
19,megatron,0.01,10.49909,17210.8
20,megatron,0.01,10.49596,18035.4
21,megatron,0.01,10.47811,18397.7
22,megatron,0.01,10.46606,18091.3
23,megatron,0.01,10.43149,16859.2
24,megatron,0.01,10.28013,18031.1
25,megatron,0.01,10.2542,17214.2
26,megatron,0.01,10.24099,16917.3
27,megatron,0.01,10.20341,17965.9
28,megatron,0.01,10.16537,17051.7
29,megatron,0.01,10.15227,16843.7
30,megatron,0.01,10.11818,16264.3
31,megatron,0.01,10.0967,18133.1
32,megatron,0.01,9.901208,17218.8
33,megatron,0.01,9.629745,17774.6
34,megatron,0.01,9.504803,17892.2
35,megatron,0.01,9.474333,17261.3
36,megatron,0.01,9.399826,17590.8
37,megatron,0.01,9.386233,18412.7
38,megatron,0.01,9.31549,19222.2
39,megatron,0.01,9.227422,18249.2
40,megatron,0.01,9.208333,19802.2
41,megatron,0.01,9.159284,19031.2
42,megatron,0.01,9.113103,17788.0
43,megatron,0.01,9.098387,17020.2
44,megatron,0.01,8.991624,17791.4
45,megatron,0.01,8.833445,17920.0
46,megatron,0.01,8.753814,18427.3
47,megatron,0.01,8.689136,17922.1
48,megatron,0.01,8.639156,18048.0
49,megatron,0.01,8.581737,17610.0
50,megatron,0.01,8.507221,18325.3
51,megatron,0.01,8.479927,18979.4
52,megatron,0.01,8.445591,16922.5
53,megatron,0.01,8.435261,17076.0
54,megatron,0.01,8.384301,17307.1
55,megatron,0.01,8.369586,16603.9
56,megatron,0.01,8.31577,18702.3
57,megatron,0.01,8.300742,17550.6
58,megatron,0.01,8.263616,17235.6
59,megatron,0.01,8.248183,18730.6
60,megatron,0.01,8.210173,17551.5
61,megatron,0.01,8.189864,16836.5
62,megatron,0.01,8.148672,16141.4
63,megatron,0.01,8.122446,16239.6
64,megatron,0.01,8.111352,17189.3
65,megatron,0.01,8.051352,15594.4
66,megatron,0.01,8.02756,17220.4
67,megatron,0.01,8.005861,15437.7
68,megatron,0.01,7.988207,15340.6
69,megatron,0.01,7.954287,15319.0
70,megatron,0.01,7.9352,14866.9
71,megatron,0.01,7.883639,16880.9
72,megatron,0.01,7.873189,16185.9
73,megatron,0.01,7.853317,16190.7
74,megatron,0.01,7.811883,16111.7
75,megatron,0.01,7.814746,15248.6
76,megatron,0.01,7.788132,17071.5
77,megatron,0.01,7.753811,16526.3
78,megatron,0.01,7.734788,15798.5
79,megatron,0.01,7.71664,16088.9
80,megatron,0.01,7.685153,16827.8
81,megatron,0.01,7.669047,15631.4
82,megatron,0.01,7.647284,15664.6
83,megatron,0.01,7.617081,14750.4
84,megatron,0.01,7.626886,15189.2
85,megatron,0.01,7.565543,15335.0
86,megatron,0.01,7.564724,14540.3
87,megatron,0.01,7.533986,17199.7
88,megatron,0.01,7.515339,15468.7
89,megatron,0.01,7.480012,15569.1
90,megatron,0.01,7.500277,14930.6
91,megatron,0.01,7.517976,16019.4
92,megatron,0.01,7.469276,15449.3
93,megatron,0.01,7.447685,14109.0
94,megatron,0.01,7.44336,16227.0
95,megatron,0.01,7.417208,16232.7
96,megatron,0.01,7.39911,17315.7
97,megatron,0.01,7.419973,14239.4
98,megatron,0.01,7.410453,13271.5
99,megatron,0.01,7.37745,14404.9
100,megatron,0.01,7.368157,15876.5
101,megatron,0.01,7.365596,14944.2
102,megatron,0.01,7.344479,13945.2
103,megatron,0.01,7.350649,16822.8
104,megatron,0.01,7.323838,14746.3
105,megatron,0.01,7.347636,15257.0
106,megatron,0.01,7.288955,14224.4
107,megatron,0.01,7.281694,13842.2
108,megatron,0.01,7.288668,13929.6
109,megatron,0.01,7.270068,13996.4
110,megatron,0.01,7.254667,13847.6
111,megatron,0.01,7.239674,13888.2
112,megatron,0.01,7.230125,14085.6
113,megatron,0.01,7.222515,16636.3
114,megatron,0.01,7.199863,15390.5
115,megatron,0.01,7.199821,13976.1
116,megatron,0.01,7.178893,13509.5
117,megatron,0.01,7.18525,13693.4
118,megatron,0.01,7.167042,13384.3
119,megatron,0.01,7.158372,13254.3
120,megatron,0.01,7.16673,14399.7
121,megatron,0.01,7.134624,15826.3
122,megatron,0.01,7.116148,15815.0
123,megatron,0.01,7.147609,13828.9
124,megatron,0.01,7.094157,14246.7
125,megatron,0.01,7.109176,13865.1
126,megatron,0.01,7.085166,14205.2
127,megatron,0.01,7.096883,14403.9
128,megatron,0.01,7.108661,14685.8
129,megatron,0.01,7.055382,14281.7
130,megatron,0.01,7.078677,13125.7
131,megatron,0.01,7.067656,14369.5
132,megatron,0.01,7.072742,16499.1
133,megatron,0.01,7.055684,13537.1
134,megatron,0.01,7.031407,13918.8
135,megatron,0.01,7.014351,13561.2
136,megatron,0.01,7.026503,12707.8
137,megatron,0.01,7.012682,14095.6
138,megatron,0.01,6.997333,14506.2
139,megatron,0.01,7.000423,13000.6
140,megatron,0.01,6.982384,15722.9
141,megatron,0.01,6.993023,13265.1
142,megatron,0.01,7.000443,15207.7
143,megatron,0.01,6.998614,13473.8
144,megatron,0.01,6.987735,13992.2
145,megatron,0.01,6.963964,12616.9
146,megatron,0.01,6.981077,13442.6
147,megatron,0.01,6.941228,12897.1
148,megatron,0.01,6.948388,13796.1
149,megatron,0.01,6.94016,13873.3
150,megatron,0.01,6.94567,13454.0
151,megatron,0.01,6.926961,13506.4
152,megatron,0.01,6.935555,13711.0
153,megatron,0.01,6.901116,13276.3
154,megatron,0.01,6.899504,13662.5
155,megatron,0.01,6.934892,13590.0
156,megatron,0.01,6.882607,13271.5
157,megatron,0.01,6.885463,14797.3
158,megatron,0.01,6.881132,14296.0
159,megatron,0.01,6.890848,13058.0
160,megatron,0.01,6.873801,12453.1
161,megatron,0.01,6.861127,12713.9
162,megatron,0.01,6.861527,12877.7
163,megatron,0.01,6.865532,14422.9
164,megatron,0.01,6.867579,13720.0
165,megatron,0.01,6.833803,14772.4
166,megatron,0.01,6.817109,13255.9
167,megatron,0.01,6.813253,14221.8
168,megatron,0.01,6.812959,13058.8
169,megatron,0.01,6.822819,15168.7
170,megatron,0.01,6.820259,14188.6
171,megatron,0.01,6.838463,13357.4
172,megatron,0.01,6.810336,13010.0
173,megatron,0.01,6.759589,13257.2
174,megatron,0.01,6.80172,14615.7
175,megatron,0.01,6.796551,13434.5
176,megatron,0.01,6.785389,13753.3
177,megatron,0.01,6.779615,14625.7
178,megatron,0.01,6.783099,13171.6
179,megatron,0.01,6.770157,13397.7
180,megatron,0.01,6.747312,13995.6
181,megatron,0.01,6.740775,13319.4
182,megatron,0.01,6.748758,13488.2
183,megatron,0.01,6.757597,13945.8
184,megatron,0.01,6.76717,13297.4
185,megatron,0.01,6.726398,13033.0
186,megatron,0.01,6.74312,12797.2
187,megatron,0.01,6.723085,11587.7
188,megatron,0.01,6.721384,11763.4
189,megatron,0.01,6.706736,11927.9
190,megatron,0.01,6.70776,14272.1
191,megatron,0.01,6.700557,12277.2
192,megatron,0.01,6.688138,13385.1
193,megatron,0.01,6.717958,12287.4
194,megatron,0.01,6.683808,12962.9
195,megatron,0.01,6.680423,12893.1
196,megatron,0.01,6.713263,13392.8
197,megatron,0.01,6.695316,13566.2
198,megatron,0.01,6.677797,14464.2
199,megatron,0.01,6.675002,12601.9
200,megatron,0.01,6.692148,12578.8
201,megatron,0.01,6.668585,13370.4
202,megatron,0.01,6.674075,12870.8
203,megatron,0.01,6.642462,12578.8
