dataset,method,model_name,aux_loss,avg_time_ms,std_time_ms,matched_iterations,total_iterations
C4,FLEX,mixtral-8x22b-e16k4,0.0,27333.75,3788.463557499268,50,50
C4,LAER,mixtral-8x22b-e16k4,0.0,19977.056666666664,2424.7602829535317,50,50
C4,FSDP,mixtral-8x22b-e16k4,0.0,28345.38333333333,1669.0425662803082,50,50
C4,megatron,mixtral-8x22b-e16k4,0.0,22347.98333333333,487.08301283137416,50,50
C4,FLEX,mixtral-8x22b-e16k4,0.0001,27472.70666666667,4847.39344506807,50,50
C4,LAER,mixtral-8x22b-e16k4,0.0001,20286.67666666667,2950.86017907585,50,50
C4,FSDP,mixtral-8x22b-e16k4,0.0001,28529.353333333333,1922.113775288953,50,50
C4,megatron,mixtral-8x22b-e16k4,0.0001,22434.33,557.3594855207901,50,50
C4,FLEX,mixtral-8x22b-e8k2,0.0,26409.456666666665,863.4905167143157,50,50
C4,LAER,mixtral-8x22b-e8k2,0.0,24794.700000000008,363.3912684696757,50,50
C4,FSDP,mixtral-8x22b-e8k2,0.0,37260.83,2377.940483296417,50,50
C4,megatron,mixtral-8x22b-e8k2,0.0,41640.43333333333,810.8268509504494,50,50
C4,FLEX,mixtral-8x22b-e8k2,0.0001,26466.10333333334,1322.5217972956898,50,50
C4,LAER,mixtral-8x22b-e8k2,0.0001,24777.496666666662,401.6817840723619,50,50
C4,FSDP,mixtral-8x22b-e8k2,0.0001,37121.926666666666,2872.0984989995645,50,50
C4,megatron,mixtral-8x22b-e8k2,0.0001,41955.14,759.1383139674434,50,50
C4,FLEX,mixtral-8x7b-e16k4,0.0,24453.64,349.96477403685424,50,50
C4,LAER,mixtral-8x7b-e16k4,0.0,19113.333333333336,376.1436661111754,50,50
C4,FSDP,mixtral-8x7b-e16k4,0.0,27633.553333333337,346.87711631386446,50,50
C4,megatron,mixtral-8x7b-e16k4,0.0,26488.05,425.20236339104895,50,50
C4,FLEX,mixtral-8x7b-e16k4,0.0001,24602.28,380.05088378619337,50,50
C4,LAER,mixtral-8x7b-e16k4,0.0001,19260.266666666663,367.43716409143417,50,50
C4,FSDP,mixtral-8x7b-e16k4,0.0001,27530.51,313.5170589191811,50,50
C4,megatron,mixtral-8x7b-e16k4,0.0001,26828.40666666667,499.0313409886086,50,50
C4,FLEX,mixtral-8x7b-e8k2,0.0,28909.48666666667,2695.0885614061413,50,50
C4,LAER,mixtral-8x7b-e8k2,0.0,27946.67333333333,2941.941446497912,50,50
C4,FSDP,mixtral-8x7b-e8k2,0.0,36996.14000000001,316.66828343446844,50,50
C4,megatron,mixtral-8x7b-e8k2,0.0,43964.14666666665,753.3043460794722,50,50
C4,FLEX,mixtral-8x7b-e8k2,0.0001,29677.46333333333,3720.3754309194233,50,50
C4,LAER,mixtral-8x7b-e8k2,0.0001,28142.870000000003,2895.1799225782147,50,50
C4,FSDP,mixtral-8x7b-e8k2,0.0001,36713.87,388.4063912536281,50,50
C4,megatron,mixtral-8x7b-e8k2,0.0001,44255.53333333333,952.8625512399752,50,50
C4,FLEX,qwen-8x7b-e16k4,0.0,24575.65666666668,898.1355887553331,50,50
C4,LAER,qwen-8x7b-e16k4,0.0,19259.05,344.7650675943454,50,50
C4,FSDP,qwen-8x7b-e16k4,0.0,27767.626666666667,197.7005883203745,50,50
C4,megatron,qwen-8x7b-e16k4,0.0,27026.90666666667,547.5536783021572,50,50
C4,FLEX,qwen-8x7b-e16k4,0.0001,24590.04,906.0275417447308,50,50
C4,LAER,qwen-8x7b-e16k4,0.0001,19191.14,379.423217177512,50,50
C4,FSDP,qwen-8x7b-e16k4,0.0001,27496.56,196.94764549663105,50,50
C4,megatron,qwen-8x7b-e16k4,0.0001,27247.786666666667,584.3446949266237,50,50
C4,FLEX,qwen-8x7b-e8k2,0.0,29752.87,2317.884777284381,50,50
C4,LAER,qwen-8x7b-e8k2,0.0,27495.123333333333,2038.6238607916096,50,50
C4,FSDP,qwen-8x7b-e8k2,0.0,37391.49666666667,324.6974288814467,50,50
C4,megatron,qwen-8x7b-e8k2,0.0,43912.24333333333,694.5321896467833,50,50
C4,FLEX,qwen-8x7b-e8k2,0.0001,30121.303333333333,2723.6275236631677,50,50
C4,LAER,qwen-8x7b-e8k2,0.0001,27805.52666666667,3632.253988359784,50,50
C4,FSDP,qwen-8x7b-e8k2,0.0001,37179.75000000001,1006.602486502658,50,50
C4,megatron,qwen-8x7b-e8k2,0.0001,44072.16333333335,875.4749250105465,50,50
wikitext,FLEX,mixtral-8x22b-e16k4,0.0,25468.276666666665,2494.0264785661134,50,50
wikitext,LAER,mixtral-8x22b-e16k4,0.0,18372.270000000004,968.4977023376632,50,50
wikitext,FSDP,mixtral-8x22b-e16k4,0.0,27222.04666666667,625.1854123555846,50,50
wikitext,megatron,mixtral-8x22b-e16k4,0.0,24123.8,564.336214798708,50,50
wikitext,FLEX,mixtral-8x22b-e16k4,0.0001,25435.92,2757.1543794765403,50,50
wikitext,LAER,mixtral-8x22b-e16k4,0.0001,18255.000000000004,946.1009019479192,50,50
wikitext,FSDP,mixtral-8x22b-e16k4,0.0001,27162.5,627.6942801502443,50,50
wikitext,megatron,mixtral-8x22b-e16k4,0.0001,24111.779999999995,532.7026602774447,50,50
wikitext,FLEX,mixtral-8x22b-e8k2,0.0,26499.053333333333,1431.690506530265,50,50
wikitext,LAER,mixtral-8x22b-e8k2,0.0,24004.63333333334,451.2403981126788,50,50
wikitext,FSDP,mixtral-8x22b-e8k2,0.0,35161.30333333333,2624.9282952090125,50,50
wikitext,megatron,mixtral-8x22b-e8k2,0.0,39772.333333333336,642.936835846951,50,50
wikitext,FLEX,mixtral-8x22b-e8k2,0.0001,26705.266666666663,1728.4827310550593,50,50
wikitext,LAER,mixtral-8x22b-e8k2,0.0001,23936.203333333346,397.3261275772784,50,50
wikitext,FSDP,mixtral-8x22b-e8k2,0.0001,34623.72,2456.5474547828303,50,50
wikitext,megatron,mixtral-8x22b-e8k2,0.0001,39974.833333333336,754.753061309165,50,50
wikitext,FLEX,mixtral-8x7b-e16k4,0.0,24714.27666666667,317.4905454585311,50,50
wikitext,LAER,mixtral-8x7b-e16k4,0.0,18847.51333333333,263.41036392333206,50,50
wikitext,FSDP,mixtral-8x7b-e16k4,0.0,27790.970000000005,378.22919431653264,50,50
wikitext,megatron,mixtral-8x7b-e16k4,0.0,25981.88666666667,644.1061463937618,50,50
wikitext,FLEX,mixtral-8x7b-e16k4,0.0001,24535.39333333333,336.5033560341148,50,50
wikitext,LAER,mixtral-8x7b-e16k4,0.0001,19155.516666666663,343.0794923272968,50,50
wikitext,FSDP,mixtral-8x7b-e16k4,0.0001,27603.7,455.036123840734,50,50
wikitext,megatron,mixtral-8x7b-e16k4,0.0001,26122.783333333333,545.0289943867408,50,50
wikitext,FLEX,mixtral-8x7b-e8k2,0.0,28512.960000000003,1473.5565136996497,50,50
wikitext,LAER,mixtral-8x7b-e8k2,0.0,26325.37,2016.2694357236417,50,50
wikitext,FSDP,mixtral-8x7b-e8k2,0.0,35661.14666666666,875.7957523431037,50,50
wikitext,megatron,mixtral-8x7b-e8k2,0.0,43377.74333333332,969.6491680614298,50,50
wikitext,FLEX,mixtral-8x7b-e8k2,0.0001,29019.07333333333,2422.321802587115,50,50
wikitext,LAER,mixtral-8x7b-e8k2,0.0001,26124.16333333333,2044.276370011865,50,50
wikitext,FSDP,mixtral-8x7b-e8k2,0.0001,35302.87666666667,1009.7612538560238,50,50
wikitext,megatron,mixtral-8x7b-e8k2,0.0001,43089.63333333334,1303.7978376863316,50,50
wikitext,FLEX,qwen-8x7b-e16k4,0.0,25028.683333333334,295.01352859751256,50,50
wikitext,LAER,qwen-8x7b-e16k4,0.0,18874.206666666665,262.0787565260146,50,50
wikitext,FSDP,qwen-8x7b-e16k4,0.0,27819.276666666672,376.81721447171446,50,50
wikitext,megatron,qwen-8x7b-e16k4,0.0,25879.66333333333,581.5465727886477,50,50
wikitext,FLEX,qwen-8x7b-e16k4,0.0001,25014.779999999995,319.1051366974005,50,50
wikitext,LAER,qwen-8x7b-e16k4,0.0001,19214.29,438.0703051261673,50,50
wikitext,FSDP,qwen-8x7b-e16k4,0.0001,27669.05,333.03038474990075,50,50
wikitext,megatron,qwen-8x7b-e16k4,0.0001,25911.95,714.0630344491071,50,50
wikitext,FLEX,qwen-8x7b-e8k2,0.0,28976.566666666666,2007.2844749949013,50,50
wikitext,LAER,qwen-8x7b-e8k2,0.0,25642.590000000004,1275.0255153917508,50,50
wikitext,FSDP,qwen-8x7b-e8k2,0.0,35766.573333333334,303.4977560964093,50,50
wikitext,megatron,qwen-8x7b-e8k2,0.0,43412.73333333332,907.836591879594,50,50
wikitext,FLEX,qwen-8x7b-e8k2,0.0001,28120.34,1140.1406491013877,50,50
wikitext,LAER,qwen-8x7b-e8k2,0.0001,26177.25333333333,1795.212043507829,50,50
wikitext,FSDP,qwen-8x7b-e8k2,0.0001,35590.58666666667,446.15865767933127,50,50
wikitext,megatron,qwen-8x7b-e8k2,0.0001,43423.16666666666,1002.797415677209,50,50
