n_device,C_e,time
64,1,0.0004867076873779297
128,1,0.0012941837310791015
256,1,0.0035941362380981444
512,1,0.024480605125427247
1024,1,0.0998488187789917
64,2,0.0005168437957763672
128,2,0.0015364885330200195
256,2,0.0044463157653808595
512,2,0.02864079475402832
1024,2,0.11608636379241943
64,4,0.0007493495941162109
128,4,0.0020821094512939453
256,4,0.0060530900955200195
512,4,0.03364784717559814
1024,4,0.1311558961868286
64,8,0.0010000228881835937
128,8,0.0029439210891723635
256,8,0.009443092346191406
512,8,0.046644949913024904
1024,8,0.1817769765853882
64,16,0.0017487049102783204
128,16,0.005281925201416016
256,16,0.0174274206161499
512,16,0.07630312442779541
1024,16,0.28198168277740476
