rank,method,model_name,layer,iter,token_num
0,FLEX,mixtral-8x7b-e16k4,0,0,78790
0,FLEX,mixtral-8x7b-e16k4,0,1,70541
0,FLEX,mixtral-8x7b-e16k4,0,2,71463
0,FLEX,mixtral-8x7b-e16k4,0,3,72517
0,FLEX,mixtral-8x7b-e16k4,0,4,68764
0,FLEX,mixtral-8x7b-e16k4,0,5,70414
0,FLEX,mixtral-8x7b-e16k4,0,6,69337
0,FLEX,mixtral-8x7b-e16k4,0,7,71688
0,FLEX,mixtral-8x7b-e16k4,0,8,72888
0,FLEX,mixtral-8x7b-e16k4,0,9,71583
0,FLEX,mixtral-8x7b-e16k4,0,10,72355
0,FLEX,mixtral-8x7b-e16k4,0,11,73405
0,FLEX,mixtral-8x7b-e16k4,0,12,76490
0,FLEX,mixtral-8x7b-e16k4,0,13,74133
0,FLEX,mixtral-8x7b-e16k4,0,14,73488
0,FLEX,mixtral-8x7b-e16k4,0,15,74332
0,FLEX,mixtral-8x7b-e16k4,0,16,74106
0,FLEX,mixtral-8x7b-e16k4,0,17,78219
0,FLEX,mixtral-8x7b-e16k4,0,18,74424
0,FLEX,mixtral-8x7b-e16k4,0,19,74514
0,FLEX,mixtral-8x7b-e16k4,0,20,74466
0,FLEX,mixtral-8x7b-e16k4,0,21,72800
0,FLEX,mixtral-8x7b-e16k4,0,22,69074
0,FLEX,mixtral-8x7b-e16k4,0,23,72851
0,FLEX,mixtral-8x7b-e16k4,0,24,72042
0,FLEX,mixtral-8x7b-e16k4,0,25,70879
0,FLEX,mixtral-8x7b-e16k4,0,26,71719
0,FLEX,mixtral-8x7b-e16k4,0,27,70165
0,FLEX,mixtral-8x7b-e16k4,0,28,72072
0,FLEX,mixtral-8x7b-e16k4,0,29,71398
1,FLEX,mixtral-8x7b-e16k4,0,0,64346
1,FLEX,mixtral-8x7b-e16k4,0,1,70051
1,FLEX,mixtral-8x7b-e16k4,0,2,70109
1,FLEX,mixtral-8x7b-e16k4,0,3,68856
1,FLEX,mixtral-8x7b-e16k4,0,4,69560
1,FLEX,mixtral-8x7b-e16k4,0,5,67844
1,FLEX,mixtral-8x7b-e16k4,0,6,70671
1,FLEX,mixtral-8x7b-e16k4,0,7,68034
1,FLEX,mixtral-8x7b-e16k4,0,8,68896
1,FLEX,mixtral-8x7b-e16k4,0,9,68864
1,FLEX,mixtral-8x7b-e16k4,0,10,68765
1,FLEX,mixtral-8x7b-e16k4,0,11,70250
1,FLEX,mixtral-8x7b-e16k4,0,12,65377
1,FLEX,mixtral-8x7b-e16k4,0,13,69374
1,FLEX,mixtral-8x7b-e16k4,0,14,68076
1,FLEX,mixtral-8x7b-e16k4,0,15,66272
1,FLEX,mixtral-8x7b-e16k4,0,16,67453
1,FLEX,mixtral-8x7b-e16k4,0,17,65838
1,FLEX,mixtral-8x7b-e16k4,0,18,66537
1,FLEX,mixtral-8x7b-e16k4,0,19,66373
1,FLEX,mixtral-8x7b-e16k4,0,20,66447
1,FLEX,mixtral-8x7b-e16k4,0,21,68227
1,FLEX,mixtral-8x7b-e16k4,0,22,68360
1,FLEX,mixtral-8x7b-e16k4,0,23,66907
1,FLEX,mixtral-8x7b-e16k4,0,24,65597
1,FLEX,mixtral-8x7b-e16k4,0,25,66681
1,FLEX,mixtral-8x7b-e16k4,0,26,67473
1,FLEX,mixtral-8x7b-e16k4,0,27,66236
1,FLEX,mixtral-8x7b-e16k4,0,28,66404
1,FLEX,mixtral-8x7b-e16k4,0,29,65299
2,FLEX,mixtral-8x7b-e16k4,0,0,70837
2,FLEX,mixtral-8x7b-e16k4,0,1,73659
2,FLEX,mixtral-8x7b-e16k4,0,2,69954
2,FLEX,mixtral-8x7b-e16k4,0,3,72778
2,FLEX,mixtral-8x7b-e16k4,0,4,71555
2,FLEX,mixtral-8x7b-e16k4,0,5,72037
2,FLEX,mixtral-8x7b-e16k4,0,6,71551
2,FLEX,mixtral-8x7b-e16k4,0,7,73019
2,FLEX,mixtral-8x7b-e16k4,0,8,72936
2,FLEX,mixtral-8x7b-e16k4,0,9,71292
2,FLEX,mixtral-8x7b-e16k4,0,10,73431
2,FLEX,mixtral-8x7b-e16k4,0,11,71166
2,FLEX,mixtral-8x7b-e16k4,0,12,72338
2,FLEX,mixtral-8x7b-e16k4,0,13,69907
2,FLEX,mixtral-8x7b-e16k4,0,14,71713
2,FLEX,mixtral-8x7b-e16k4,0,15,74408
2,FLEX,mixtral-8x7b-e16k4,0,16,70227
2,FLEX,mixtral-8x7b-e16k4,0,17,70544
2,FLEX,mixtral-8x7b-e16k4,0,18,57787
2,FLEX,mixtral-8x7b-e16k4,0,19,66967
2,FLEX,mixtral-8x7b-e16k4,0,20,66442
2,FLEX,mixtral-8x7b-e16k4,0,21,65574
2,FLEX,mixtral-8x7b-e16k4,0,22,67216
2,FLEX,mixtral-8x7b-e16k4,0,23,66424
2,FLEX,mixtral-8x7b-e16k4,0,24,65879
2,FLEX,mixtral-8x7b-e16k4,0,25,67676
2,FLEX,mixtral-8x7b-e16k4,0,26,67704
2,FLEX,mixtral-8x7b-e16k4,0,27,66415
2,FLEX,mixtral-8x7b-e16k4,0,28,66965
2,FLEX,mixtral-8x7b-e16k4,0,29,64727
3,FLEX,mixtral-8x7b-e16k4,0,0,48205
3,FLEX,mixtral-8x7b-e16k4,0,1,49955
3,FLEX,mixtral-8x7b-e16k4,0,2,50593
3,FLEX,mixtral-8x7b-e16k4,0,3,50199
3,FLEX,mixtral-8x7b-e16k4,0,4,52616
3,FLEX,mixtral-8x7b-e16k4,0,5,51947
3,FLEX,mixtral-8x7b-e16k4,0,6,50081
3,FLEX,mixtral-8x7b-e16k4,0,7,50814
3,FLEX,mixtral-8x7b-e16k4,0,8,50004
3,FLEX,mixtral-8x7b-e16k4,0,9,51996
3,FLEX,mixtral-8x7b-e16k4,0,10,49638
3,FLEX,mixtral-8x7b-e16k4,0,11,49204
3,FLEX,mixtral-8x7b-e16k4,0,12,49395
3,FLEX,mixtral-8x7b-e16k4,0,13,51226
3,FLEX,mixtral-8x7b-e16k4,0,14,53147
3,FLEX,mixtral-8x7b-e16k4,0,15,50886
3,FLEX,mixtral-8x7b-e16k4,0,16,54467
3,FLEX,mixtral-8x7b-e16k4,0,17,54483
3,FLEX,mixtral-8x7b-e16k4,0,18,68771
3,FLEX,mixtral-8x7b-e16k4,0,19,59022
3,FLEX,mixtral-8x7b-e16k4,0,20,58815
3,FLEX,mixtral-8x7b-e16k4,0,21,59215
3,FLEX,mixtral-8x7b-e16k4,0,22,60611
3,FLEX,mixtral-8x7b-e16k4,0,23,60132
3,FLEX,mixtral-8x7b-e16k4,0,24,60139
3,FLEX,mixtral-8x7b-e16k4,0,25,60849
3,FLEX,mixtral-8x7b-e16k4,0,26,60583
3,FLEX,mixtral-8x7b-e16k4,0,27,62752
3,FLEX,mixtral-8x7b-e16k4,0,28,60281
3,FLEX,mixtral-8x7b-e16k4,0,29,60790
4,FLEX,mixtral-8x7b-e16k4,0,0,78775
4,FLEX,mixtral-8x7b-e16k4,0,1,57134
4,FLEX,mixtral-8x7b-e16k4,0,2,60964
4,FLEX,mixtral-8x7b-e16k4,0,3,57929
4,FLEX,mixtral-8x7b-e16k4,0,4,58861
4,FLEX,mixtral-8x7b-e16k4,0,5,59281
4,FLEX,mixtral-8x7b-e16k4,0,6,59778
4,FLEX,mixtral-8x7b-e16k4,0,7,58819
4,FLEX,mixtral-8x7b-e16k4,0,8,58704
4,FLEX,mixtral-8x7b-e16k4,0,9,59843
4,FLEX,mixtral-8x7b-e16k4,0,10,58509
4,FLEX,mixtral-8x7b-e16k4,0,11,60179
4,FLEX,mixtral-8x7b-e16k4,0,12,61120
4,FLEX,mixtral-8x7b-e16k4,0,13,59245
4,FLEX,mixtral-8x7b-e16k4,0,14,58056
4,FLEX,mixtral-8x7b-e16k4,0,15,58242
4,FLEX,mixtral-8x7b-e16k4,0,16,57632
4,FLEX,mixtral-8x7b-e16k4,0,17,59645
4,FLEX,mixtral-8x7b-e16k4,0,18,60916
4,FLEX,mixtral-8x7b-e16k4,0,19,60239
4,FLEX,mixtral-8x7b-e16k4,0,20,59275
4,FLEX,mixtral-8x7b-e16k4,0,21,58917
4,FLEX,mixtral-8x7b-e16k4,0,22,56482
4,FLEX,mixtral-8x7b-e16k4,0,23,58785
4,FLEX,mixtral-8x7b-e16k4,0,24,59040
4,FLEX,mixtral-8x7b-e16k4,0,25,57697
4,FLEX,mixtral-8x7b-e16k4,0,26,58122
4,FLEX,mixtral-8x7b-e16k4,0,27,59357
4,FLEX,mixtral-8x7b-e16k4,0,28,59365
4,FLEX,mixtral-8x7b-e16k4,0,29,60432
5,FLEX,mixtral-8x7b-e16k4,0,0,64332
5,FLEX,mixtral-8x7b-e16k4,0,1,72074
5,FLEX,mixtral-8x7b-e16k4,0,2,71507
5,FLEX,mixtral-8x7b-e16k4,0,3,69751
5,FLEX,mixtral-8x7b-e16k4,0,4,69749
5,FLEX,mixtral-8x7b-e16k4,0,5,69507
5,FLEX,mixtral-8x7b-e16k4,0,6,71875
5,FLEX,mixtral-8x7b-e16k4,0,7,69428
5,FLEX,mixtral-8x7b-e16k4,0,8,70197
5,FLEX,mixtral-8x7b-e16k4,0,9,70547
5,FLEX,mixtral-8x7b-e16k4,0,10,70663
5,FLEX,mixtral-8x7b-e16k4,0,11,71620
5,FLEX,mixtral-8x7b-e16k4,0,12,68362
5,FLEX,mixtral-8x7b-e16k4,0,13,71048
5,FLEX,mixtral-8x7b-e16k4,0,14,69222
5,FLEX,mixtral-8x7b-e16k4,0,15,68132
5,FLEX,mixtral-8x7b-e16k4,0,16,69029
5,FLEX,mixtral-8x7b-e16k4,0,17,66533
5,FLEX,mixtral-8x7b-e16k4,0,18,68813
5,FLEX,mixtral-8x7b-e16k4,0,19,68702
5,FLEX,mixtral-8x7b-e16k4,0,20,69760
5,FLEX,mixtral-8x7b-e16k4,0,21,70317
5,FLEX,mixtral-8x7b-e16k4,0,22,70947
5,FLEX,mixtral-8x7b-e16k4,0,23,70009
5,FLEX,mixtral-8x7b-e16k4,0,24,68153
5,FLEX,mixtral-8x7b-e16k4,0,25,68832
5,FLEX,mixtral-8x7b-e16k4,0,26,70944
5,FLEX,mixtral-8x7b-e16k4,0,27,69603
5,FLEX,mixtral-8x7b-e16k4,0,28,70178
5,FLEX,mixtral-8x7b-e16k4,0,29,68868
6,FLEX,mixtral-8x7b-e16k4,0,0,70816
6,FLEX,mixtral-8x7b-e16k4,0,1,73639
6,FLEX,mixtral-8x7b-e16k4,0,2,69940
6,FLEX,mixtral-8x7b-e16k4,0,3,72764
6,FLEX,mixtral-8x7b-e16k4,0,4,71538
6,FLEX,mixtral-8x7b-e16k4,0,5,72018
6,FLEX,mixtral-8x7b-e16k4,0,6,71540
6,FLEX,mixtral-8x7b-e16k4,0,7,73000
6,FLEX,mixtral-8x7b-e16k4,0,8,72915
6,FLEX,mixtral-8x7b-e16k4,0,9,71275
6,FLEX,mixtral-8x7b-e16k4,0,10,73415
6,FLEX,mixtral-8x7b-e16k4,0,11,71146
6,FLEX,mixtral-8x7b-e16k4,0,12,72320
6,FLEX,mixtral-8x7b-e16k4,0,13,69889
6,FLEX,mixtral-8x7b-e16k4,0,14,71694
6,FLEX,mixtral-8x7b-e16k4,0,15,74386
6,FLEX,mixtral-8x7b-e16k4,0,16,70210
6,FLEX,mixtral-8x7b-e16k4,0,17,70528
6,FLEX,mixtral-8x7b-e16k4,0,18,63864
6,FLEX,mixtral-8x7b-e16k4,0,19,63323
6,FLEX,mixtral-8x7b-e16k4,0,20,61909
6,FLEX,mixtral-8x7b-e16k4,0,21,61094
6,FLEX,mixtral-8x7b-e16k4,0,22,63154
6,FLEX,mixtral-8x7b-e16k4,0,23,63028
6,FLEX,mixtral-8x7b-e16k4,0,24,63331
6,FLEX,mixtral-8x7b-e16k4,0,25,64639
6,FLEX,mixtral-8x7b-e16k4,0,26,63518
6,FLEX,mixtral-8x7b-e16k4,0,27,63239
6,FLEX,mixtral-8x7b-e16k4,0,28,61418
6,FLEX,mixtral-8x7b-e16k4,0,29,62011
7,FLEX,mixtral-8x7b-e16k4,0,0,48187
7,FLEX,mixtral-8x7b-e16k4,0,1,57235
7,FLEX,mixtral-8x7b-e16k4,0,2,59758
7,FLEX,mixtral-8x7b-e16k4,0,3,59494
7,FLEX,mixtral-8x7b-e16k4,0,4,61645
7,FLEX,mixtral-8x7b-e16k4,0,5,61240
7,FLEX,mixtral-8x7b-e16k4,0,6,59455
7,FLEX,mixtral-8x7b-e16k4,0,7,59486
7,FLEX,mixtral-8x7b-e16k4,0,8,57748
7,FLEX,mixtral-8x7b-e16k4,0,9,58888
7,FLEX,mixtral-8x7b-e16k4,0,10,57512
7,FLEX,mixtral-8x7b-e16k4,0,11,57318
7,FLEX,mixtral-8x7b-e16k4,0,12,58886
7,FLEX,mixtral-8x7b-e16k4,0,13,59466
7,FLEX,mixtral-8x7b-e16k4,0,14,58892
7,FLEX,mixtral-8x7b-e16k4,0,15,57630
7,FLEX,mixtral-8x7b-e16k4,0,16,61164
7,FLEX,mixtral-8x7b-e16k4,0,17,58498
7,FLEX,mixtral-8x7b-e16k4,0,18,63176
7,FLEX,mixtral-8x7b-e16k4,0,19,65148
7,FLEX,mixtral-8x7b-e16k4,0,20,67174
7,FLEX,mixtral-8x7b-e16k4,0,21,68144
7,FLEX,mixtral-8x7b-e16k4,0,22,68444
7,FLEX,mixtral-8x7b-e16k4,0,23,66152
7,FLEX,mixtral-8x7b-e16k4,0,24,70107
7,FLEX,mixtral-8x7b-e16k4,0,25,67035
7,FLEX,mixtral-8x7b-e16k4,0,26,64225
7,FLEX,mixtral-8x7b-e16k4,0,27,66521
7,FLEX,mixtral-8x7b-e16k4,0,28,67605
7,FLEX,mixtral-8x7b-e16k4,0,29,70763
8,FLEX,mixtral-8x7b-e16k4,0,0,80317
8,FLEX,mixtral-8x7b-e16k4,0,1,72805
8,FLEX,mixtral-8x7b-e16k4,0,2,71089
